Assay Definition

Assay Description:
Repeat count low-level assay for 3H in UG LLT counting 1L run 2 vials OV 3 and 4 from set 1 through set 10
Assay Type: DPM (Single)
Report Name: Report1
Output Data Path: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various
Raw Results Path: C:\Packard\Tricarb\Results\Default\Flibe_Test\20250116_0726\20250116_0726.results
Comma-Delimited File Name: C:\Packard\TriCarb\Results\Default\Flibe_Test\Various\REPEAT_IV-2-1_TO_2-10.csv
Assay File Name: C:\Packard\TriCarb\Assays\Flibe_Test.lsa


Count Conditions

Nuclide: 3H UG LLT Normal     
   Quench Indicator: tSIE/AEC
   External Std Terminator (sec): 0.5 2s%
   Pre-Count Delay (min): 0.00
Quench Set:                   
   Low Energy: 3H-UG-LLT-NM
Count Time (min): 100.00
Count Mode: Normal                                          
Assay Count Cycles: 1         Repeat Sample Count: 6        
Number of Vials/Sample: 1     Calculate % Reference: Off                                  


Background Subtract: Off
Low CPM Threshold: Off
2 Sigma % Terminator: Off

Regions         LL       UL
A              0.0     18.6
B              2.0     18.6
C              4.0     18.6


Count Corrections

Static Controller: On         Luminescence Correction: On     GCT: n/a
Colored Samples: Off          Heterogeneity Monitor: Off      PAC: Disabled
Coincidence Time (nsec): 18   Delay Before Burst (nsec): 75   PAC Strength: n/a   Auxiliary Spectrum: n/a


S#,SMPL_ID,Bq:1,CPMA,LUM,tSIE,Eff Nuc1 In A,Count Time,DPM1
1,1L-Bl-3,0.370,6,0,291.00,26.87,100.00,22
1,1L-Bl-3,0.380,6,0,290.82,26.85,100.00,23
1,1L-Bl-3,0.390,6,0,290.94,26.86,100.00,23
1,1L-Bl-3,0.376,6,0,291.15,26.88,100.00,23
1,1L-Bl-3,0.380,6,0,290.63,26.83,100.00,23
1,1L-Bl-3,0.402,6,0,290.55,26.82,100.00,24
,,0.383,6,0,290.85,26.85,,23

Missing vial 2.
3,1L-IV_2-1-3,2.293,37,0,287.65,26.56,100.00,138
3,1L-IV_2-1-3,2.327,37,0,286.97,26.50,100.00,140
3,1L-IV_2-1-3,2.230,35,0,287.10,26.51,100.00,134
3,1L-IV_2-1-3,2.286,36,0,287.63,26.55,100.00,137
3,1L-IV_2-1-3,2.259,36,0,288.42,26.62,100.00,136
3,1L-IV_2-1-3,2.289,36,0,287.53,26.54,100.00,137
,,2.281,36,0,287.55,26.55,,137

4,1L-IV_2-1-4,0.411,6,0,284.29,26.27,100.00,25
4,1L-IV_2-1-4,0.419,7,0,283.76,26.22,100.00,25
4,1L-IV_2-1-4,0.396,6,0,284.21,26.26,100.00,24
4,1L-IV_2-1-4,0.403,6,0,283.94,26.24,100.00,24
4,1L-IV_2-1-4,0.408,6,0,283.65,26.21,100.00,24
4,1L-IV_2-1-4,0.397,6,1,283.27,26.18,100.00,24
,,0.406,6,0,283.85,26.23,,24

Missing vial 5.
